time_s,OD_AU_per_cm
3.430851063829790291e+03,8.151588776997007457e-01
3.444148936170215165e+03,8.290799664085100051e-01
3.457446808510640949e+03,8.453212365687872154e-01
3.470744680851066732e+03,8.592423252775964748e-01
3.484042553191491606e+03,8.685230510834691664e-01
3.497340425531917390e+03,8.824441397922782038e-01
3.510638297872343173e+03,8.894046841466829445e-01
3.523936170212768957e+03,8.986854099525556361e-01
3.537234042553193831e+03,9.033257728554919819e-01
3.550531914893619614e+03,9.079661357584283277e-01
3.563829787234045398e+03,9.102863172098965006e-01
3.577127659574470272e+03,9.102863172098965006e-01
3.590425531914896055e+03,9.079661357584283277e-01
3.603723404255321839e+03,9.033257728554919819e-01
3.617021276595747622e+03,8.986854099525556361e-01
3.630319148936172496e+03,8.894046841466829445e-01
3.643617021276598280e+03,8.824441397922782038e-01
3.656914893617024063e+03,8.731634139864055122e-01
3.670212765957449847e+03,8.592423252775964748e-01
3.683510638297874721e+03,8.430010551173190425e-01
3.696808510638300504e+03,8.290799664085100051e-01
3.710106382978726288e+03,8.105185147967643999e-01
3.723404255319151162e+03,7.942772446364869676e-01
3.736702127659576945e+03,7.710754301218052387e-01
3.750000000000002728e+03,7.525139785100596335e-01
3.763297872340428512e+03,7.293121639953776825e-01
3.776595744680853386e+03,7.037901680292275586e-01
3.789893617021279169e+03,6.805883535145456076e-01
3.803191489361704953e+03,6.550663575483957057e-01
3.816489361702129827e+03,6.295443615822455818e-01
3.829787234042555610e+03,5.970618212616907172e-01
3.843085106382981394e+03,5.738600067470089883e-01
3.856382978723407177e+03,5.483380107808586423e-01
3.869680851063832051e+03,5.181756519117723947e-01
3.882978723404257835e+03,4.880132930426857030e-01
3.896276595744683618e+03,4.601711156250676282e-01
3.909574468085109402e+03,4.323289382074491094e-01
3.922872340425534276e+03,4.044867607898310347e-01
3.936170212765960059e+03,3.766445833722125158e-01
3.949468085106385843e+03,3.488024059545944411e-01
3.962765957446810717e+03,3.209602285369763663e-01
3.976063829787236500e+03,2.931180511193578475e-01
3.989361702127662284e+03,2.675960551532079457e-01
4.002659574468088067e+03,2.443942406385257726e-01
