time_s,salt_mol_per_L
3.484042553191491606e+03,2.728729596573350458e-01
3.497340425531917390e+03,2.767117265363659984e-01
3.510638297872343173e+03,2.747923430968505221e-01
3.523936170212768957e+03,2.767117265363659984e-01
3.537234042553193831e+03,2.786311099758814747e-01
3.617021276595747622e+03,2.824698768549124273e-01
3.630319148936172496e+03,2.824698768549124273e-01
3.643617021276598280e+03,2.843892602944279036e-01
3.656914893617024063e+03,2.824698768549124273e-01
3.670212765957449847e+03,2.863086437339433798e-01
3.683510638297874721e+03,2.843892602944279036e-01
3.776595744680853386e+03,2.920667940524898087e-01
3.789893617021279169e+03,2.901474106129743324e-01
3.803191489361704953e+03,2.939861774920052850e-01
3.816489361702129827e+03,2.920667940524898087e-01
3.909574468085109402e+03,2.997443278105517139e-01
3.922872340425534276e+03,2.978249443710362376e-01
3.936170212765960059e+03,2.997443278105517139e-01
3.949468085106385843e+03,3.016637112500671902e-01
3.962765957446810717e+03,2.997443278105517139e-01
3.976063829787236500e+03,3.035830946895826665e-01
4.069148936170215165e+03,3.074218615686136191e-01
4.082446808510640949e+03,3.093412450081290954e-01
4.095744680851066732e+03,3.074218615686136191e-01
4.109042553191491606e+03,3.093412450081290954e-01
4.122340425531917390e+03,3.112606284476445717e-01
4.135638297872343173e+03,3.093412450081290954e-01
4.215425531914896055e+03,3.131800118871600480e-01
4.228723404255321839e+03,3.170187787661910006e-01
4.242021276595747622e+03,3.170187787661910006e-01
4.255319148936172496e+03,3.150993953266755243e-01
4.268617021276598280e+03,3.189381622057064769e-01
4.281914893617024063e+03,3.170187787661910006e-01
4.361702127659576945e+03,3.218172373649796913e-01
4.375000000000002728e+03,3.208575456452219532e-01
4.388297872340428512e+03,3.227769290847374295e-01
4.401595744680853386e+03,3.246963125242529058e-01
4.428191489361704953e+03,3.246963125242529058e-01
4.507978723404257835e+03,3.294947711230415965e-01
4.521276595744683618e+03,3.304544628427993347e-01
4.534574468085108492e+03,3.285350794032838584e-01
4.547872340425534276e+03,3.304544628427993347e-01
4.561170212765960059e+03,3.323738462823148110e-01
4.574468085106385843e+03,3.314141545625570728e-01
4.654255319148938725e+03,3.362126131613457636e-01
4.667553191489364508e+03,3.362126131613457636e-01
4.680851063829789382e+03,3.381319966008612399e-01
4.694148936170215165e+03,3.362126131613457636e-01
4.720744680851066732e+03,3.400513800403767162e-01
4.813829787234045398e+03,3.458095303589231451e-01
4.827127659574470272e+03,3.438901469194076688e-01
4.840425531914896055e+03,3.458095303589231451e-01
4.853723404255321839e+03,3.477289137984386214e-01
4.867021276595747622e+03,3.458095303589231451e-01
4.960106382978726288e+03,3.534870641169850503e-01
4.973404255319151162e+03,3.515676806774695740e-01
4.986702127659576945e+03,3.554064475565005266e-01
5.000000000000002728e+03,3.534870641169850503e-01
5.013297872340427602e+03,3.554064475565005266e-01
5.026595744680853386e+03,3.554064475565005266e-01
5.132978723404257835e+03,3.630839813145624317e-01
5.146276595744683618e+03,3.611645978750469554e-01
5.159574468085108492e+03,3.650033647540779080e-01
5.172872340425534276e+03,3.630839813145624317e-01
5.252659574468088067e+03,3.669227481935933843e-01
5.265957446808512941e+03,3.707615150726243369e-01
5.279255319148938725e+03,3.688421316331088606e-01
5.292553191489364508e+03,3.707615150726243369e-01
5.305851063829789382e+03,3.726808985121398132e-01
5.319148936170215165e+03,3.707615150726243369e-01
5.398936170212768047e+03,3.774793571109285040e-01
5.412234042553193831e+03,3.784390488306862421e-01
5.425531914893619614e+03,3.765196653911707658e-01
5.438829787234045398e+03,3.803584322702017184e-01
5.452127659574470272e+03,3.784390488306862421e-01
5.465425531914896055e+03,3.793987405504439803e-01
5.545212765957448937e+03,3.851568908689902981e-01
5.558510638297874721e+03,3.841971991492325600e-01
5.571808510638300504e+03,3.861165825887480363e-01
5.585106382978726288e+03,3.880359660282635126e-01
5.598404255319151162e+03,3.861165825887480363e-01
5.611702127659576945e+03,3.880359660282635126e-01
5.691489361702129827e+03,3.918747329072944652e-01
5.704787234042555610e+03,3.937941163468099415e-01
5.718085106382981394e+03,3.957134997863254178e-01
5.731382978723407177e+03,3.937941163468099415e-01
5.744680851063832051e+03,3.957134997863254178e-01
5.757978723404257835e+03,3.966731915060831559e-01
5.837765957446810717e+03,4.014716501048718467e-01
5.851063829787236500e+03,4.033910335443873230e-01
5.864361702127662284e+03,4.014716501048718467e-01
5.877659574468087158e+03,4.033910335443873230e-01
5.890957446808512941e+03,4.053104169839027993e-01
5.904255319148938725e+03,4.043507252641450611e-01
5.984042553191491606e+03,4.101088755826914900e-01
6.010638297872343173e+03,4.110685673024492282e-01
6.023936170212768047e+03,4.129879507419647044e-01
6.037234042553193831e+03,4.110685673024492282e-01
6.050531914893619614e+03,4.120282590222069663e-01
6.130319148936172496e+03,4.177864093407533952e-01
6.143617021276598280e+03,4.168267176209956570e-01
6.156914893617024063e+03,4.206654845000266096e-01
6.170212765957448937e+03,4.187461010605111333e-01
6.183510638297874721e+03,4.206654845000266096e-01
6.196808510638300504e+03,4.216251762197843478e-01
6.276595744680853386e+03,4.264236348185730385e-01
6.289893617021279169e+03,4.264236348185730385e-01
6.303191489361704953e+03,4.283430182580885148e-01
6.316489361702129827e+03,4.264236348185730385e-01
6.329787234042555610e+03,4.302624016976039911e-01
6.343085106382981394e+03,4.293027099778462530e-01
6.422872340425534276e+03,4.350608602963926819e-01
6.436170212765960059e+03,4.360205520161504200e-01
6.449468085106385843e+03,2.383240577460564724e-01
6.462765957446810717e+03,4.379399354556658963e-01
6.476063829787236500e+03,4.360205520161504200e-01
6.489361702127662284e+03,4.369802437359081582e-01
6.569148936170215165e+03,4.427383940544545871e-01
6.582446808510640039e+03,4.417787023346968489e-01
6.595744680851066732e+03,4.436980857742123252e-01
6.622340425531916480e+03,4.456174692137278015e-01
6.635638297872343173e+03,4.475368526532432778e-01
6.715425531914896055e+03,4.513756195322742304e-01
6.728723404255320929e+03,4.513756195322742304e-01
6.742021276595747622e+03,4.532950029717897067e-01
6.755319148936172496e+03,4.532950029717897067e-01
6.768617021276597370e+03,4.552143864113051830e-01
6.781914893617024063e+03,4.542546946915474448e-01
6.861702127659576945e+03,4.600128450100938737e-01
6.875000000000001819e+03,4.609725367298516119e-01
6.888297872340428512e+03,4.590531532903361356e-01
6.901595744680853386e+03,4.628919201693670882e-01
6.914893617021278260e+03,4.609725367298516119e-01
6.928191489361704953e+03,4.619322284496093500e-01
7.007978723404257835e+03,4.686500704879135171e-01
7.021276595744682709e+03,4.667306870483980408e-01
7.034574468085109402e+03,4.705694539274289934e-01
7.047872340425534276e+03,4.686500704879135171e-01
7.061170212765959150e+03,4.705694539274289934e-01
7.074468085106385843e+03,4.724888373669444697e-01
7.154255319148938725e+03,4.763276042459754223e-01
7.167553191489363599e+03,4.763276042459754223e-01
7.180851063829790291e+03,4.763276042459754223e-01
7.194148936170215165e+03,4.782469876854908986e-01
7.207446808510640039e+03,4.801663711250063749e-01
7.220744680851066732e+03,4.792066794052486367e-01
7.300531914893619614e+03,4.849648297237950656e-01
7.313829787234044488e+03,4.840051380040373274e-01
7.327127659574471181e+03,4.859245214435528037e-01
7.340425531914896055e+03,4.878439048830682800e-01
7.353723404255320929e+03,4.859245214435528037e-01
7.367021276595747622e+03,4.897632883225837563e-01
7.446808510638300504e+03,4.936020552016147089e-01
7.460106382978725378e+03,4.936020552016147089e-01
7.473404255319152071e+03,3.870818003644704852e-02
7.486702127659576945e+03,3.870818003644704852e-02
7.500000000000001819e+03,2.680745010585463550e-01
7.513297872340428512e+03,3.438901469194076688e-01
7.526595744680853386e+03,3.870818003644704852e-02
7.593085106382981394e+03,5.022392806794343523e-01
7.619680851063832961e+03,5.031989723991920904e-01
7.632978723404257835e+03,5.051183558387075667e-01
7.646276595744682709e+03,5.031989723991920904e-01
7.659574468085109402e+03,5.070377392782230430e-01
7.739361702127662284e+03,5.108765061572539956e-01
7.752659574468087158e+03,5.108765061572539956e-01
7.765957446808513851e+03,5.127958895967694719e-01
7.779255319148938725e+03,5.127958895967694719e-01
7.792553191489363599e+03,5.147152730362849482e-01
7.805851063829790291e+03,5.137555813165272101e-01
7.885638297872343173e+03,5.195137316350736389e-01
7.898936170212768047e+03,5.185540399153159008e-01
7.912234042553194740e+03,5.204734233548313771e-01
7.925531914893619614e+03,5.223928067943468534e-01
7.938829787234044488e+03,5.204734233548313771e-01
7.952127659574471181e+03,5.223928067943468534e-01
8.031914893617024063e+03,5.281509571128932823e-01
8.045212765957448937e+03,5.281509571128932823e-01
8.058510638297873811e+03,5.300703405524087586e-01
8.071808510638300504e+03,5.281509571128932823e-01
8.085106382978725378e+03,5.300703405524087586e-01
8.098404255319152071e+03,5.319897239919242349e-01
8.178191489361704953e+03,5.358284908709551875e-01
8.191489361702129827e+03,5.358284908709551875e-01
8.204787234042554701e+03,5.377478743104706638e-01
8.218085106382981394e+03,5.358284908709551875e-01
8.231382978723406268e+03,5.377478743104706638e-01
8.244680851063832961e+03,5.396672577499861401e-01
8.324468085106385843e+03,5.435060246290170927e-01
8.337765957446810717e+03,5.435060246290170927e-01
8.351063829787235591e+03,5.454254080685325690e-01
8.364361702127662284e+03,5.435060246290170927e-01
8.377659574468087158e+03,5.454254080685325690e-01
8.390957446808513851e+03,5.473447915080479342e-01
8.484042553191491606e+03,5.511835583870788868e-01
8.497340425531916480e+03,5.531029418265943631e-01
8.510638297872343173e+03,5.511835583870788868e-01
8.523936170212768047e+03,5.550223252661098394e-01
8.537234042553194740e+03,5.531029418265943631e-01
8.630319148936172496e+03,5.607804755846562683e-01
8.643617021276597370e+03,5.607804755846562683e-01
8.656914893617024063e+03,5.626998590241717446e-01
8.670212765957448937e+03,5.607804755846562683e-01
8.683510638297873811e+03,5.626998590241717446e-01
8.763297872340428512e+03,5.684580093427181735e-01
8.776595744680853386e+03,5.684580093427181735e-01
8.789893617021278260e+03,5.703773927822336498e-01
8.803191489361704953e+03,5.684580093427181735e-01
8.816489361702129827e+03,5.722967762217491261e-01
8.829787234042554701e+03,5.703773927822336498e-01
8.922872340425534276e+03,5.780549265402955550e-01
8.936170212765959150e+03,5.761355431007800787e-01
8.949468085106385843e+03,5.799743099798110313e-01
8.962765957446810717e+03,5.780549265402955550e-01
8.976063829787235591e+03,5.799743099798110313e-01
9.069148936170215165e+03,5.838130768588419839e-01
9.082446808510640039e+03,5.857324602983574602e-01
9.095744680851066732e+03,5.876518437378729365e-01
9.109042553191491606e+03,5.857324602983574602e-01
9.122340425531916480e+03,5.895712271773884128e-01
9.135638297872343173e+03,3.131800118871600480e-01
9.215425531914896055e+03,5.914906106169038891e-01
9.228723404255320929e+03,3.189381622057064769e-01
9.242021276595747622e+03,3.179784704859487388e-01
9.255319148936172496e+03,5.953293774959348417e-01
9.268617021276597370e+03,3.198978539254642151e-01
9.281914893617024063e+03,5.953293774959348417e-01
9.361702127659576945e+03,6.030069112539967469e-01
9.375000000000001819e+03,6.030069112539967469e-01
9.388297872340428512e+03,6.010875278144812706e-01
9.401595744680853386e+03,6.049262946935122232e-01
9.414893617021278260e+03,6.030069112539967469e-01
9.507978723404257835e+03,6.097247532923009139e-01
9.521276595744682709e+03,6.087650615725431757e-01
9.534574468085109402e+03,6.106844450120586520e-01
9.547872340425534276e+03,6.126038284515741283e-01
9.561170212765959150e+03,6.106844450120586520e-01
9.574468085106385843e+03,6.126038284515741283e-01
9.654255319148938725e+03,6.164425953306050809e-01
9.667553191489363599e+03,6.183619787701205572e-01
9.680851063829790291e+03,6.202813622096360335e-01
9.694148936170215165e+03,6.183619787701205572e-01
9.707446808510640039e+03,6.202813622096360335e-01
9.720744680851066732e+03,6.202813622096360335e-01
9.800531914893619614e+03,6.241201290886669861e-01
9.813829787234044488e+03,6.279588959676979387e-01
9.827127659574471181e+03,6.260395125281824624e-01
9.840425531914896055e+03,6.279588959676979387e-01
9.853723404255320929e+03,6.298782794072134150e-01
9.867021276595747622e+03,6.289185876874556769e-01
9.946808510638300504e+03,6.346767380060021058e-01
9.960106382978725378e+03,6.375558131652753202e-01
9.973404255319152071e+03,6.356364297257598439e-01
9.986702127659576945e+03,6.536786340572053877e-01
1.000000000000000182e+04,6.874597825926775929e-01
1.001329787234042851e+04,6.941776246309818710e-01
1.002659574468085339e+04,7.761627172617142634e-01
1.003989361702127826e+04,8.231601917664217449e-01
1.005319148936170495e+04,8.777529407389261795e-01
1.006648936170212983e+04,9.224471551162151117e-01
1.007978723404255470e+04,9.514622502278515803e-01
1.009308510638298139e+04,9.926417494756382132e-01
1.010638297872340627e+04,9.945611329151536895e-01
1.011968085106383114e+04,1.010875892151035238e+00
1.013297872340425783e+04,1.023351884507885723e+00
1.014627659574468271e+04,1.023991678987724363e+00
1.019946808510638584e+04,1.036787568584494057e+00
1.021276595744681072e+04,1.036787568584494057e+00
1.022606382978723559e+04,1.038706952024009533e+00
1.023936170212766228e+04,1.036787568584494057e+00
1.025265957446808716e+04,1.036787568584494057e+00
1.026595744680851203e+04,1.036787568584494057e+00
1.035904255319149161e+04,1.039666643743767382e+00
1.037234042553191648e+04,1.040626335463525010e+00
1.038563829787234317e+04,1.040626335463525010e+00
1.039893617021276805e+04,1.040626335463525010e+00
1.041223404255319292e+04,1.040626335463525010e+00
1.042553191489361961e+04,1.040626335463525010e+00
