xi,H_um
0.45063,9.4986
0.45120,9.4986
0.45178,9.4986
0.45236,9.4986
0.45294,9.4986
0.45351,9.4986
0.45409,9.4986
0.45467,9.4986
0.45525,9.4986
0.45582,9.4986
0.45640,9.4986
0.45698,9.4986
0.45756,9.4986
0.45813,9.4986
0.45871,9.4986
0.45929,9.4986
0.45987,9.4986
0.46044,9.4986
0.46102,9.4986
0.46160,9.4986
0.46218,9.4986
0.46275,9.4986
0.46333,9.4986
0.46391,9.4986
0.46449,9.4986
0.46506,9.4986
0.46564,9.4986
0.46622,9.4986
0.46680,9.4986
0.46737,9.4986
0.46795,9.4986
0.46853,9.4986
0.46911,9.4986
0.46968,9.4986
0.47026,9.4986
0.47084,9.4986
0.47142,9.4986
0.47199,9.4986
0.47257,9.4986
0.47315,9.4986
0.47373,9.4986
0.47430,9.4986
0.47488,9.4986
0.47546,9.4773
0.47604,9.4773
0.47661,9.4773
0.47719,9.4773
0.47777,9.4773
0.47835,9.4773
0.47892,9.4773
0.47950,9.4773
0.48008,9.4773
0.48066,9.4773
0.48123,9.4773
0.48181,9.4773
0.48239,9.4773
0.48296,9.4773
0.48354,9.4986
0.48412,9.4986
0.48470,9.4986
0.48527,9.4986
0.48585,9.4986
0.48643,9.4986
0.48701,9.4773
0.48758,9.4773
0.48816,9.4773
0.48874,9.4773
0.48932,9.4773
0.48989,9.4773
0.49047,9.4773
0.49105,9.4773
0.49163,9.4773
0.49220,9.4773
0.49278,9.4773
0.49336,9.4773
0.49394,9.4773
0.49451,9.4773
0.49509,9.4773
0.49567,9.4773
0.49625,9.4773
0.49682,9.4773
0.49740,9.4773
0.49798,9.4773
0.49856,9.4773
0.49913,9.4773
0.49971,9.4773
0.50029,9.4773
0.50087,9.4773
0.50144,9.4773
0.50202,9.4773
0.50260,9.4773
0.50318,9.4773
0.50375,9.4773
0.50433,9.4773
0.50491,9.4773
0.50549,9.4773
0.50606,9.4773
0.50664,9.4773
0.50722,9.4773
0.50780,9.4773
0.50837,9.4773
0.50895,9.4773
0.50953,9.4773
0.51011,9.4773
0.51068,9.4773
0.51126,9.4773
0.51184,9.4773
0.51242,9.4773
0.51299,9.4773
0.51357,9.4773
0.51415,9.4773
0.51473,9.4773
0.51530,9.4773
0.51588,9.4773
0.51646,9.4773
0.51704,9.4773
